Time,GPS Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI,GW RSSI
18:40:04,21:40:04,0,-21.77806565,-43.371482533333335,905.1,1,14,-102,-112
18:40:12,21:40:04,1,-21.77806565,-43.371482533333335,905.1,1,14,-106,-112
18:40:20,21:40:12,2,-21.778065583333333,-43.37148258333333,905.1,1,14,-118,-114
18:40:29,21:40:20,3,-21.77806551666667,-43.3714826,905.1,1,14,-112,-110
18:40:37,21:40:29,4,-21.77806548333333,-43.37148268333333,905.1,1,14,-113,-115
18:40:45,21:40:37,5,-21.77802725,-43.37142226666667,905.6,1,14,-114,-111
18:40:53,21:40:45,6,-21.777808666666665,-43.37138255,905.6,1,14,-113,-109
18:41:01,21:40:53,7,-21.77749243333333,-43.37134171666667,902.3,1,14,-120,-120
18:41:09,21:41:01,8,-21.777109016666667,-43.37141931666667,898.2,1,14,-119,-119
18:41:17,21:41:09,9,-21.776702866666668,-43.37149251666666,891.1,1,14,-127,-119
18:41:25,21:41:17,10,-21.776323516666668,-43.371610933333336,889.7,1,14,-124,-118
18:41:33,21:41:25,11,-21.776006666666667,-43.371672833333335,888.8,1,14,-124,-119
18:41:42,21:41:33,12,-21.775928716666662,-43.371561033333336,888.6,1,14,-127,-118
18:41:50,21:41:42,13,-21.776127416666668,-43.37164801666667,886.3,1,14,-116,-116
18:41:58,21:41:50,14,-21.77639968333333,-43.37157441666667,886.0,1,14,-114,-120
18:42:06,21:41:58,15,-21.776708433333333,-43.3714626,888.3,1,14,-102,-113
18:42:14,21:42:06,16,-21.77708193333333,-43.37139463333333,889.7,1,14,-114,-116
18:42:22,21:42:14,17,-21.777480383333334,-43.37136013333333,891.1,1,14,-109,-121
18:42:30,21:42:22,18,-21.7777203,-43.371409416666665,897.6,1,14,-111,-112
18:42:38,21:42:30,19,-21.77735155,-43.37151503333333,897.4,1,14,-114,-120
18:42:46,21:42:38,20,-21.776947866666667,-43.37161501666667,899.2,1,14,-117,-114
18:42:55,21:42:47,21,-21.77651128333333,-43.37170293333333,901.1,1,14,-117,-118
18:43:03,21:42:55,22,-21.77618238333333,-43.371796466666666,902.8,1,14,-122,-121
18:43:11,21:43:03,23,-21.77589143333333,-43.37185708333333,903.5,1,14,-121,-114
18:43:19,21:43:11,24,-21.77565458333333,-43.37191091666666,903.2,1,14,-115,-119
18:43:27,21:43:19,25,-21.775400033333334,-43.37204346666667,904.6,1,14,-114,-112
18:43:35,21:43:27,26,-21.775436316666667,-43.37234556666667,905.8,1,14,-105,-112
18:43:43,21:43:35,27,-21.775807116666662,-43.37241178333333,910.1,1,14,-108,-101
18:43:51,21:43:43,28,-21.776142516666667,-43.37263251666667,914.6,1,14,-102,-107
18:44:08,21:43:59,30,-21.776801916666667,-43.37322695,917.3,1,14,-100,-113
18:44:16,21:44:08,31,-21.77714033333333,-43.37354773333333,917.8,1,14,-101,-92
18:44:24,21:44:16,32,-21.777479566666667,-43.37384221666667,917.8,1,14,-87,-96
18:44:48,21:44:40,35,-21.77836578333333,-43.37465563333333,922.4,1,14,-101,-115
18:44:56,21:44:48,36,-21.77866408333333,-43.3749267,922.6,1,14,-80,-93
18:45:04,21:44:56,37,-21.7790742,-43.37492005,921.8,1,14,-88,-77
18:45:37,21:45:29,41,-21.779176566666667,-43.37330368333333,923.5,1,14,-89,-84
18:45:45,21:45:37,42,-21.778948616666668,-43.37291525,924.4,1,14,-98,-99
18:46:34,21:46:26,48,-21.777096766666663,-43.37215518333333,916.0,1,14,-99,-103
18:46:42,21:46:34,49,-21.7767621,-43.37222758333333,916.2,1,14,-98,-94
18:46:50,21:46:42,50,-21.776440166666667,-43.37232898333333,915.6,1,14,-105,-101
18:46:58,21:46:50,51,-21.7763206,-43.37265816666667,916.3,1,14,-101,-106
